family,label,site,flow_ml_min,parameter,parameter_value,baseline_icp_mmhg,outcome_icp_mmhg,delta_icp_mmhg,converged,duration_s,icp_std_mmhg,icp_drift_mmhg_min,max_pressure_drift_mmhg_min,max_pressure_residual_mmhg_min,branches_seen,minimum_Pv_minus_Pic_mmhg
dose_response,dose_pv_300,Pv,300.0,nominal,,22.69811640834893,18.851734791406972,3.846381616941958,True,8400.0,2.9308692340020537e-05,5.034181895184466e-05,5.034181895184466e-05,4.780664012735188e-05,0,7.08683227395484
dose_response,dose_pv_360,Pv,360.0,nominal,,22.69811640834893,18.069478399123,4.628638009225931,True,9000.0,3.067013707831118e-05,5.268075916810982e-05,5.268075916810982e-05,5.015985363165717e-05,0,6.079487118575706
dose_response,dose_pv_480,Pv,480.0,nominal,,22.69811640834893,16.493665813395644,6.204450594953286,True,10800.0,2.47134198412351e-05,4.244988043936756e-05,4.244988043936756e-05,4.063924015842326e-05,0,4.0567727400630105
dose_response,dose_pvs_60,Pvs,60.0,nominal,,22.69811640834893,22.631851302670924,0.06626510567800636,True,4800.0,1.6456375937232427e-05,-2.8264765592141955e-05,2.8264765592141955e-05,2.650300968792642e-05,0,12.079036754113535
dose_response,dose_pvs_120,Pvs,120.0,nominal,,22.69811640834893,22.564361187793537,0.13375522055539335,True,5400.0,1.7632887982737095e-05,-3.0285513615977144e-05,3.0285513615977144e-05,2.8402503441658455e-05,0,12.079036779441633
dose_response,dose_pvs_180,Pvs,180.0,nominal,,22.69811640834893,22.49703743983678,0.20107896851214946,True,5400.0,2.67588400049891e-05,-4.595990078159605e-05,4.595990078159605e-05,4.310943969901813e-05,0,12.079036804772137
dose_response,dose_pvs_240,Pvs,240.0,nominal,,22.69811640834893,22.429211266413343,0.268905141935587,True,6000.0,1.9120522945491147e-05,-3.28406598446685e-05,3.28406598446685e-05,3.080901520513189e-05,0,12.079036830101586
dose_response,dose_pvs_300,Pvs,300.0,nominal,,22.69811640834893,22.361677825745797,0.3364385826031331,True,6000.0,2.4189555615099815e-05,-4.154706068380258e-05,4.154706068380258e-05,3.898328676468006e-05,0,12.079036848177463
dose_response,dose_pvs_360,Pvs,360.0,nominal,,22.69811640834893,22.294095622499867,0.4040207858490632,True,6000.0,2.9373537517118633e-05,-5.0450906354310295e-05,5.0450906354310295e-05,4.734558594087135e-05,0,12.079036848177463
dose_response,dose_pvs_480,Pvs,480.0,nominal,,22.69811640834893,22.1582675525625,0.5398488557864312,True,6600.0,2.13993785733228e-05,-3.675483673758801e-05,3.675483673758801e-05,3.4504147168073e-05,0,12.079036848177463
dose_response,dose_j3_60,J3,60.0,nominal,,22.69811640834893,22.66277687305538,0.03533953529355216,True,4200.0,1.669565232173565e-05,-2.867572716469893e-05,2.867572716469893e-05,2.688632296042965e-05,0,12.079036707013238
dose_response,dose_j3_120,J3,120.0,nominal,,22.69811640834893,22.62624214378223,0.0718742645667021,True,4800.0,1.7864331214372695e-05,-3.068301099956514e-05,3.068301099956514e-05,2.877092326991754e-05,0,12.07903674522564
dose_response,dose_j3_180,J3,180.0,nominal,,22.69811640834893,22.589911179534614,0.10820522881431671,True,4800.0,2.7006004220242315e-05,-4.638437498860415e-05,4.638437498860415e-05,4.349766900086452e-05,0,12.079036753446584
dose_response,dose_j3_240,J3,240.0,nominal,,22.69811640834893,22.55311178997765,0.14500461837128142,True,5400.0,1.9150041130218268e-05,-3.289131652645416e-05,3.289131652645416e-05,3.0847144924148445e-05,0,12.079036761665837
dose_response,dose_j3_300,J3,300.0,nominal,,22.69811640834893,22.516645874583602,0.18147053376532796,True,5400.0,2.4088458173526124e-05,-4.137335259275579e-05,4.137335259275579e-05,3.880549483949977e-05,0,12.07903676988676
