family,label,site,flow_ml_min,parameter,parameter_value,baseline_icp_mmhg,outcome_icp_mmhg,delta_icp_mmhg,converged,duration_s,icp_std_mmhg,icp_drift_mmhg_min,max_pressure_drift_mmhg_min,max_pressure_residual_mmhg_min,branches_seen,minimum_Pv_minus_Pic_mmhg
matched_sensitivity,sens_a_0p4_pv240,Pv,240.0,A,0.4,22.683427841843116,19.65389740583119,3.0295304360119246,True,7800.0,2.9650330481999957e-05,5.092815359009766e-05,5.092815359009766e-05,4.8235373129350546e-05,0,8.087996822684136
matched_sensitivity,sens_a_0p8_pv240,Pv,240.0,A,0.8,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
matched_sensitivity,sens_a_1p6_pv240,Pv,240.0,A,1.6,22.72776031002385,19.688308415323917,3.0394518946999334,True,7800.0,2.926594714627208e-05,5.0267908906052694e-05,5.0267908906052694e-05,4.76052818560212e-05,0,8.083157872335239
matched_sensitivity,sens_j3_remaining_fraction_0p075_pv240,Pv,240.0,J3_remaining_fraction,0.075,22.82667693676551,19.759718200072403,3.066958736693106,True,7800.0,2.8262821530365964e-05,4.854487686397436e-05,4.854487686397436e-05,4.59633862526587e-05,0,8.073106773274837
matched_sensitivity,sens_j3_remaining_fraction_0p15_pv240,Pv,240.0,J3_remaining_fraction,0.15,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
matched_sensitivity,sens_j3_remaining_fraction_0p3_pv240,Pv,240.0,J3_remaining_fraction,0.3,22.57098107074547,19.571820068900497,2.999161001844975,True,7800.0,3.081433948623775e-05,5.292753266531598e-05,5.292753266531598e-05,5.014160455351967e-05,0,8.099526812748714
matched_sensitivity,sens_rvs1_multiplier_1p5_pv240,Pv,240.0,Rvs1_multiplier,1.5,18.670664697974768,16.9325104226042,1.7381542753705688,True,9000.0,2.505035705652587e-05,4.302825620289271e-05,4.302825620289271e-05,4.107342046391813e-05,0,4.196739227529168
matched_sensitivity,sens_rvs1_multiplier_3_pv240,Pv,240.0,Rvs1_multiplier,3.0,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
matched_sensitivity,sens_rvs1_multiplier_6_pv240,Pv,240.0,Rvs1_multiplier,6.0,29.296089653467895,24.36075614797418,4.935333505493716,True,7200.0,1.9014871416985576e-05,3.2658562132913166e-05,3.2658562132913166e-05,3.0502730910888434e-05,0,14.877050577055439
matched_sensitivity,sens_gc3_0_pv240,Pv,240.0,Gc3,0.0,22.926875480102353,19.795064654273464,3.1318108258288895,True,7800.0,2.6170082933037664e-05,4.4950306111324556e-05,4.4950306111324556e-05,4.255101942968232e-05,0,8.068127454925506
matched_sensitivity,sens_gc3_3p5_pv240,Pv,240.0,Gc3,3.5,22.832888854722466,19.741637851687965,3.0912510030345004,True,7800.0,2.7510551795628073e-05,4.725276003504391e-05,4.725276003504391e-05,4.4739744701188546e-05,0,8.075653108819576
matched_sensitivity,sens_gc3_10p715_pv240,Pv,240.0,Gc3,10.715,22.748128215934177,19.6935899828939,3.054538233040276,True,7800.0,2.8763301741316705e-05,4.940454538083757e-05,4.940454538083757e-05,4.67857049865212e-05,0,8.08241503429091
matched_sensitivity,sens_gc3_21p43_pv240,Pv,240.0,Gc3,21.43,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
matched_sensitivity,sens_gc3_42p86_pv240,Pv,240.0,Gc3,42.86,22.66092901645837,19.64427479449717,3.016654221961197,True,7800.0,3.0096247344141897e-05,5.16940804643458e-05,5.16940804643458e-05,4.896311918564817e-05,0,8.089349353731329
